Категория,Название сообщества,Описание,Контакты руководителя,Ссылка на соцсети ,Комментарий 
Досуг,МиФишка,"объединение, организовывающее игры в мафию",@kirill_drashiga,https://t.me/mifishkamafia,
Досуг,Чайный клуб,"проводятся традиционные чайные церемонии, мероприятия, направленные на ознакомление с чайной культурой","@dargasova, @aiokhim",https://vk.com/tea_club_mephi https://t.me/tea_club_mephi,
Досуг,Книжный клуб,"объединение для любителей литературы, где можно найти одномышленников для совместного прочтения и обсуждения произведений",,https://t.me/mephi_booksclub,
Досуг,Аниме клуб,клуб любителей азиатской культуры,,https://t.me/necomephi   ,
Досуг,Клуб дебатов и лекций,"объединение, проводящее дебаты, дебат-турниры, лекции от опытных спикеров",https://vk.com/mortiferum_ursus,https://vk.com/nestormephi?w=club218720947,связь осо
Досуг,Клуб настольных игр,"клуб, в котором проводятся настольные ролевые игры",@kirill_drashiga,https://t.me/kni_mephi,
Досуг,Клуб военной истории и ролевого моделирования,"Клуб занимается историческим фехтованием, ролевым моделированием, реконструкцией эпохи Золотой Орды, организацией турниров, маневров и полевых ролевых игр, а также проведением тренировок по стрельбе из лука и участием в университетских мероприятиях",https://vk.com/aleksandra_shch,https://vk.com/mephi_virm,связь осо искусство 
Досуг,клуб знатаков,"""""""Клуб интеллектуальных игр 
===========================
Тренировки проводятся каждую неделю по вечерам ПЯТНИЦЫ.
Следи за анонсами и точным временем начала тренировок на стене группы.""""""",руководитель - https://vk.com/ya_na_otdahe: заместитель - https://vk.com/vilgelm_tullius,https://vk.com/znatokmephi,"связь осо, наука"
Искусство,Клуб военной истории и ролевого моделирования,"Клуб занимается историческим фехтованием, ролевым моделированием, реконструкцией эпохи Золотой Орды, организацией турниров, маневров и полевых ролевых игр, а также проведением тренировок по стрельбе из лука и участием в университетских мероприятиях",https://vk.com/aleksandra_shch,https://vk.com/mephi_virm,связь осо досуг
Искусство,Студенческий Театр ИАТЭ,"театр, лауреат различных конкурсов, занимается театральными постановками и участвует в мероприятиях студклуба",?,?,
Искусство,Студия эстрадного вокала ИАТЭ ,"вокальный коллектив, готовит программы для различных мероприятий института",?,?,
Искусство,Танцевальный коллектив «PARADOX»,"коллектив современного молодёжного танца, участвует в институционных и городских фестивалях",Егор Львов (https://vk.com/egor_yeahgorr),https://t.me/paradox_msk,связь спорт
Искусство,ИЗО-Центр «Арт-подсобка»,"объединение для развития творческих способностей в изобразительном искусстве, с мастер-классами и выставками",Коваленко Алина Павловна тел. +7 (916) 363-65-13,Группа ВК: https://vk.com/artpodsobka; Телеграм-канал: https://t.me/izocentr,связь осо
